id,currency,rho,rho-to-call,rho-to-maturity
94b2b7cf-245a-40c5-aa07-25de5f13a8bf,USD,-1.390582,-1.390582,-1.390582
109db098-77a7-4b03-a9c9-69b3d3407e22,GBP,-1.993075,-1.069737,-1.069737
74a542f5-dd3f-43e2-a07c-cf0ae1fc67a4,USD,-0.083847,-0.246254,-0.246254
f0b359f3-c56f-4e30-9c05-348c9e1354c6,EUR,-0.780648,7.105891,7.105891
31a3fd3d-f968-4e54-95a9-ba4904f79335,USD,-0.361940,-0.454686,-0.454686
a8b0d219-72c5-4d2e-9812-447b6f172142,USD,-0.273409,-10.821170,-10.821170
5e34e30c-33d4-4802-b907-e8687642c9d9,EUR,-0.246788,1.077994,1.077994
155aa9aa-ec9f-4c55-a069-0c5551012b6a,CNY,-0.157900,-0.157900,-0.157900
3b3c3492-3d0f-4fcb-9cff-2f5ab21dd129,USD,-2.738653,-2.738653,-2.738653
a9553ee9-9bff-4479-a9a8-caa82a46274c,USD,-0.082934,-0.165072,-0.165072
976bfeec-0d4c-4474-b856-0fa7a1bbf3bf,USD,-0.468230,-0.624524,-0.624524
f8382a5c-d4f2-4e7a-97b2-ce95e84ebdb7,USD,5.216501,,5.216501
82d00ab5-c931-46b5-80db-7a548caa4adf,USD,-2.255254,-2.255254,-2.255254
9956fd1a-bd60-4fd2-8e45-db4bcc77bae1,USD,-1.090401,-1.090401,-1.090401
d786cd65-bde5-4c23-be3f-f1ab4efbe795,CNY,-0.094519,-0.094519,-0.094519
a05fc58a-f38c-4199-8935-d47247f9cf59,CNY,-0.081108,-0.081108,-0.081108
ac82475e-71ab-48ec-8bde-e6d86aba331d,EUR,-0.632648,-0.632648,-0.632648
76124428-b4a5-40ee-9b50-765ec28cab12,USD,-1.307489,-1.307489,-1.307489
52238e18-4cf8-4099-a21a-c97fa6938a5d,EUR,-0.505232,9.778111,9.778111
8dd79901-d256-4c4a-815a-261e1ba35d62,GBP,-4.993937,-5.944373,-5.944373
2cfc0fc8-c8c6-472b-b4f5-ddd965a65c56,USD,-0.082966,-0.165200,-0.165200
c4cb2db4-1231-4fe7-9648-6c9b99021208,EUR,-0.195572,-0.123746,-0.123746
7556573a-61c7-4544-a7c7-c3549c7cc00c,USD,-0.084810,-0.250792,-0.250792
469f1a39-d50d-48f5-8a88-4ecd546ce248,GBP,-0.269038,-1.351765,-1.351765
9eff5cb2-72bb-45a4-a3ac-2e520ae99fa6,EUR,0.000000,-0.179747,-0.179747
61b254e3-d6fd-4e13-8697-e8e878c73e46,USD,0.000000,-6.605206,-6.605206
33eddce1-a811-45a1-b3df-8344eec627ec,USD,-5.951726,-6.164032,-6.164032
190184c6-0a3e-4934-a45a-b9f026d52433,CAD,-0.093472,4.436439,4.436439
b29fd5bf-a896-418c-b100-df218655fa74,CHF,-0.915280,-47.962448,-47.962448
6e4180e0-1924-4724-b660-d419a166813e,USD,-0.174769,-0.308858,-0.308858
0265c7fc-2f21-4e11-8301-10cba396cdf0,CNY,-0.118786,-0.118786,-0.118786
fe20d024-c76b-4962-87ab-806a5a345f96,EUR,-0.073236,-0.073236,-0.073236
07f3cfd0-7f0c-4f12-a3eb-abf60d8866a3,USD,-0.082812,-8.239351,-8.239351
4f2ff722-dee9-4896-9534-d7074482d75b,EUR,-0.065565,-0.065565,-0.065565
85ab3b39-e9ea-4e19-91b0-f83e46663ff5,SGD,-0.348681,-0.348681,-0.348681
f0ef9ab2-a81d-4c11-9b92-37efa3007da1,USD,-4.796073,-4.904803,-4.904803
c95ff2af-f36b-43e1-b188-f80e1035fa7a,INR,-0.064357,-0.067067,-0.067067
189370e3-f19e-4fc5-94ab-ad343226cdb0,USD,-3.127681,-3.024212,-3.024212
5300d3a8-a191-43df-a9fc-885dbe9f8aeb,USD,-0.981157,-0.981157,-0.981157
b7edcd6b-b039-46a5-b29e-883705f5480f,SGD,-1.605471,-1.605471,-1.605471
d6e82d53-70b7-4606-b1e1-ccda32577862,GBP,-2.371169,-2.371169,-2.371169
67df0dbc-e149-41a3-a86d-ccd4017f128d,EUR,-3.291078,-2.974437,-2.974437
b4dd1379-513f-4df7-974e-46f5e0893e1f,EUR,-1.069769,-1.236481,-1.236481
925f8fa4-61ca-427e-9d20-fd75dc4cf5e9,USD,-0.690505,-0.690505,-0.690505
b447c511-3281-4832-82a5-27e077083fd3,SGD,-4.523376,-2.926006,-2.926006
74266343-b199-4ecd-a869-e2fcef239655,CNY,-0.187395,-0.187395,-0.187395
14d9f334-19c0-4462-82eb-6e5908900a73,USD,-2.180757,-2.184942,-2.184942
c3e85d9b-0a55-41b6-afb5-6b7aed5480e8,USD,-4.166692,-2.620545,-2.620545
da717c00-54e7-4da0-b794-0d824eeb512f,USD,-0.083061,-10.372146,-10.372146
50534558-4603-4e1a-9918-12eb14a40e17,EUR,-1.476312,-1.859450,-1.859450
66f56151-fe6c-4158-ae98-9440db287600,GBP,-2.971947,2.643893,2.643893
1256cbb0-635d-4944-bbb8-bc64376ac7b7,USD,-0.425396,-0.425396,-0.425396
deff391e-3b31-4400-8782-c543bc25398b,SGD,-0.802689,-0.802689,-0.802689
84515080-2e87-4122-bbc4-079adda451aa,EUR,0.000000,-0.270003,-0.270003
e38ef8d3-53c4-4f2b-8a76-1411b608f911,USD,-1.783559,-2.338150,-2.338150
3495ea1e-1cc0-48ea-a26d-1cf1d7714c30,EUR,-0.040314,8.061593,8.061593
4df5ada4-3256-48e7-8aed-6055f4e9cb19,EUR,-4.273957,-4.412655,-4.412655
c1af1c90-560a-44b3-8969-1eae9c3f2888,EUR,-0.088674,1.527174,1.527174
370be9c8-1047-4e3a-aa43-b69c8a19cb5e,SEK,-0.014879,-0.014879,-0.014879
44f4275b-4d51-48fc-afe5-c320311b3c03,USD,-3.384621,-1.142459,-1.142459
9a798021-b6af-4876-abc8-ed3aca8f4afc,USD,-0.427105,-9.750307,-9.750307
524550fd-f15c-4143-bebc-09608eb601dc,KRW,0.000093,0.000093,0.000093
eb496529-3017-4f22-9881-740e0245ea11,CNY,-0.138082,-0.138082,-0.138082
52c2aed3-d25c-4176-835c-0f6f0b522e09,EUR,-0.254871,1.445196,1.445196
e56c19a9-044b-48f1-8b82-7656f7990948,EUR,-0.899778,-0.899778,-0.899778
5d0e5532-8986-4f08-8478-7a98cb4e52e6,CNY,-0.084270,-0.084270,-0.084270
25ba8da0-19de-48e6-b4ba-afef2262be34,USD,-0.053775,6.486529,6.486529
c0892490-7a6c-447e-a4a1-fc9546ced830,EUR,-0.053858,8.551077,8.551077
20f5b0b6-34aa-4b08-97d6-d87e67e614cd,USD,-0.183100,-0.183100,-0.183100
84ff2d91-3131-4bb2-b7b8-fe18fded0425,CHF,-1.176938,0.187963,0.187963
763e582c-2f77-43bc-a1e7-d49483300ded,USD,-1.996710,-17.417717,-17.417717
657b5a82-22b8-4642-b0d2-c9ed36aaa656,EUR,-2.509276,-2.647113,-2.647113
64648ee2-41f7-4db2-8445-0bfe6c10d500,NOK,-0.020170,-0.020170,-0.020170
8569f093-4ea7-4314-a389-63e142a1339e,SGD,-1.867854,-1.867854,-1.867854
723fbff6-e6e1-4426-9027-1aa04262bd24,EUR,-0.890337,2.552667,2.552667
c11adbef-07ee-492a-88a3-e851e5651c35,USD,-0.474436,-0.474436,-0.474436
6a1dcf3c-3404-4ea8-98fd-2ba7b7da2ce8,EUR,-0.058616,-0.058616,-0.058616
a9b9104f-d4a9-4a6c-90af-65e24fbe993a,EUR,-0.088685,-0.088685,-0.088685
ec5eb348-c798-4934-943f-a73e83b21887,EUR,-0.112616,-0.112616,-0.112616
18c00dad-ff81-46be-8c88-c38ff89d408e,INR,-0.004522,-0.004522,-0.004522
5073f18d-926c-4195-8f73-0e87cec67c59,EUR,-4.962622,-5.323860,-5.323860
7e02cb97-f43d-4531-855d-59b4b69f0a17,SGD,-1.238569,-1.238569,-1.238569
0d4742cf-bcc7-41d3-8a4b-92df94d800a2,EUR,-8.947024,-8.849332,-8.849332
3a6d06f1-f029-48bf-9e1d-f9f509ad7e99,EUR,-0.192508,-0.192508,-0.192508
de5de72b-6d10-460c-90d6-edcbc11f2f9c,EUR,-7.496631,-7.745349,-7.745349
1ea1c631-3605-4c6f-938f-a0c813461964,EUR,-0.147437,-0.147437,-0.147437
081751eb-8bae-4232-90f6-9ec6ce90b923,EUR,-0.627662,1.294598,1.294598
aad7f975-424d-4997-b017-411216570f98,EUR,-2.843890,-1.446983,-1.446983
4baa8ac5-a1d8-4898-a8f9-ba4e8b3f389c,EUR,-3.359678,-2.528390,-2.528390
43dcc1db-19c9-43f4-b855-ea780ac2c9a1,EUR,-5.027068,-5.149437,-5.149437
e52c1c62-bee2-41f9-9cec-f0116fe12a89,USD,-0.181814,0.196219,0.196219
e0cef249-9396-4f84-9d37-06c21d5725ce,USD,-0.083261,-0.246839,-0.246839
3cbb73a1-ba37-46a6-9a57-3b8258eba533,USD,-0.251027,1.324755,1.324755
67852078-afe8-4038-939b-fad8066fa723,AUD,-0.177063,-0.177063,-0.177063
75a10715-41d1-4a24-8240-56e319033efb,USD,-4.404111,-4.649911,-4.649911
debf63c1-8a73-45fc-b7d8-387fc0aa1a78,EUR,-6.021720,-6.202796,-6.202796
ef00b73f-d761-42be-be57-fda6cb3b3491,EUR,-0.058877,-7.342996,-7.342996
ed306479-8bc2-43fc-aaa8-443d1824f3c4,INR,-0.061923,-0.064995,-0.064995
bdca6584-2e60-427f-acac-7e67ef2b86c5,EUR,-1.580986,-1.580986,-1.580986
7692b4a9-b8c1-4060-bf84-40e001870cbd,CHF,-3.100236,-3.148617,-3.148617
83ad93c8-c305-4700-ba04-785b394a24a7,CHF,-1.093454,-1.093454,-1.093454
7103c7e9-f035-473c-85fd-e76ae7719dfe,CNY,-0.038311,-0.038311,-0.038311
8e68c572-4c7b-4605-86b3-fe3fef2c0edf,USD,-1.770761,-2.084281,-2.084281
2f418c4b-91bc-437d-b90d-db5f7ee46a1f,USD,-1.380002,-1.419696,-1.419696
12431f45-fe27-4652-a552-2b47a36f8845,EUR,-4.942008,-5.068065,-5.068065
d2b6dce8-1f60-469e-89ff-31bc5b8d178f,USD,-4.171148,-1.734465,-1.734465
2174acb0-bc54-43f0-932b-3ff34ebee6b4,EUR,-4.654725,-5.037665,-5.037665
9f19d957-db55-494d-b329-75c958cf77bb,EUR,-3.201322,-3.410372,-3.410372
faeca3eb-3b2e-468d-9abd-8422b069a897,SGD,-2.764744,-2.764744,-2.764744
50ee3fb7-9361-4bde-abfa-bf84302fb72a,EUR,-2.307736,-2.451316,-2.451316
5e1a2d4b-60b6-4267-bfd5-44fc9f3fce94,USD,-0.814909,0.866804,0.866804
bc50bde9-179a-4ebc-9a10-7dc1412ab1b5,GBP,-2.808512,-2.808512,-2.808512
7c36020b-56f6-47f1-92b0-3a0d6cf78fdd,USD,-0.314773,-0.314773,-0.314773
9ada5d2d-e831-4192-b767-95fe4c024c07,EUR,-0.621043,-0.875543,-0.875543
ddaf246b-af45-4914-8973-e8428d35e113,USD,-0.173218,1.435537,1.435537
7c961869-8aac-4376-b1a6-1a1cc402890b,USD,-0.223742,-0.223742,-0.223742
72182848-5f8c-4c52-ac1f-94805a5e2e9f,GBP,-0.878647,-1.455473,-1.455473
ca6098aa-44b4-4413-b37c-16b370940301,USD,-0.596793,-0.596793,-0.596793
b1e33963-4007-4f96-9308-8eadaff5b42b,USD,-9.349592,-9.445671,-9.445671
1ff9f296-70ea-4640-b401-686ff1d1e33d,USD,-2.037498,-2.037498,-2.037498
ce76c996-d148-4c6b-87c6-b29fd5ab2791,EUR,-1.705156,0.122806,0.122806
63c772cb-6fd2-45a3-85c8-cd8b67bbcade,EUR,-0.012487,9.120487,9.120487
6446e8c3-174d-43bd-8a72-5828ffd9b323,EUR,-0.190562,5.130573,5.130573
2afd0d1e-ca99-4bd7-8ffc-7f04e9a3b6c7,EUR,-1.275350,-0.632198,-0.632198
1d66e78d-12d8-41d6-a7d9-2509df609cdb,GBP,-3.427257,-3.586408,-3.586408
78104bb3-1029-4617-bc24-f0ad7b1d6e5f,USD,-0.401904,-0.558493,-0.558493
bb3845aa-3bd2-478a-8465-fa60359c804c,MYR,-0.490909,-1.672756,-1.672756
2a447643-c10e-426a-a954-2c785416dc3c,USD,-0.482756,-0.967670,-0.967670
b7769cfd-4085-4cd8-aac6-eba10368b1bd,USD,-0.196322,3.149397,3.149397
11e52c70-4435-41cb-867b-3b600e1867ea,EUR,-1.564456,-1.725947,-1.725947
43bdcfdf-1ec2-432f-acad-bb930bae7bab,USD,-2.483783,-0.030762,-0.030762
d37ab3a9-34a7-4953-a200-341253b41e85,USD,-2.499018,-2.800727,-2.800727
ed09001f-0451-4516-a0a2-d9c833ea6c35,USD,-0.430299,-0.430299,-0.430299
