id,ytm,ytw,ytc,ytp
ec0f0ba4-c1a0-4533-bc13-2934ec872c8f,0.047958,0.047958,,
4fafd5a1-00af-4883-bb71-e82e03925736,0.058385,0.058385,,
7888636d-8139-41ef-b99f-0a1d378595b7,0.078562,0.078562,,
8986c321-5cf5-474b-855e-987d3b9d99de,0.042625,0.042625,,
712c7ecf-4c68-40d6-8b41-c6160994b0f3,0.038001,0.038001,,
6514da90-1194-49e4-8dbb-e3d190ee84c0,0.058935,0.058935,,
17230503-b568-4e4b-b657-8be3c1dc0b87,0.075197,0.075197,,
26cec96c-974f-4705-9b19-b90fc5b31fbb,0.047419,0.047419,,
896beda1-2a46-46c7-ac57-749d648500e4,0.043306,0.043306,,
1bd24303-ab41-4d8e-85ac-331d0166d3be,0.047642,0.047642,,
c27d976d-b5b5-4d7d-98fa-b4541530a114,0.046158,0.046158,,
9f8c20b4-bd53-4078-b0b3-85c2ba8f5db5,0.039000,0.039000,,
db024c77-fe8a-4d9a-967a-93f0ccea3ada,0.038940,0.038940,,
3a813dad-bdfd-4e6f-a814-1ea553d785fd,0.045143,0.045143,,
b47646fc-b1f6-46ec-92fb-2d03ec002e63,0.013022,0.013022,,
0e07995c-5733-414f-85e7-68bec754d9ce,0.038940,0.038940,,
c49862d1-a54a-49e4-b1f9-300057e8f183,0.023485,0.023485,,
79ea9963-01ae-46e4-8bcd-79561215ae91,0.075645,0.075645,,
82458008-252f-4938-84cf-b374d23bab91,0.043598,0.043598,,
c2449362-1ea5-4e54-a37d-75f12a5196f7,0.058190,0.058190,,
829c710e-d93b-49e6-8d87-619db051422a,0.038940,0.038940,,
51e0a15d-92be-4102-9c8e-d3c0e18d28e5,0.059872,0.059872,,
c9948a4e-76da-4e81-bc05-3b0cdba62d1f,0.038940,0.038940,,
72b662e2-c383-421b-a3e1-a12a54fa35f8,0.038940,0.038940,,
4e38cbcb-0e96-4057-bf0e-65ca52affcb3,0.053441,0.053441,,
9fb4cdac-ec60-4850-ab3e-0d57a2cf3f4e,0.037874,0.037874,,
8d3b573d-7337-4ea7-ba4c-44881416267c,0.046115,0.046115,,
e181d50e-80f8-496c-9e78-fe137e7b18c0,0.060525,0.060525,,
8eece1d8-3e21-46c6-814b-901613709153,0.053036,0.053036,,
d46bff30-0672-4da0-a882-39fcf2954631,0.002551,0.002551,,
8614d650-f363-4c74-b0d6-b6c506ad889a,0.042983,0.042983,,
5d88e888-7980-4e8e-b72d-a4fd45f81852,0.059665,0.059665,,
e3cf311a-42be-4e4d-9279-46705064c9d8,0.054684,0.054684,,
f6d0fcbf-355e-4917-a3b4-ce15c7ec7e62,0.089607,0.089607,,
925a6198-93b0-48a0-8de9-a03387b910aa,0.053078,0.053078,,
dab43841-bee8-4be6-bd76-72d848091c8c,0.060296,0.060296,,
5cbdd342-8b3f-424f-b554-71cc37d05012,0.034990,0.034990,,
14d21c54-bfef-49c3-8f33-f5855500a95a,0.060507,0.060507,,
27ace518-71e3-4bd9-8728-ba34abe960ec,0.035281,0.035281,,
9acd79b2-e05d-457f-a110-e1fe0f44b050,0.042201,0.042201,,
31c601b3-cca6-4eac-b95f-66ad744091d8,0.053134,0.053134,,
ff32acbd-1fe0-4eac-b78a-ebe9f5c32add,0.035130,0.035130,,
586991d9-6d5f-4c64-a14a-7db17c7613e9,0.013524,0.013524,,
8ac2bc97-9223-40e8-a845-917b021b7878,0.627238,0.627238,,
6c657e0a-933e-4311-9c35-c96df89dfb7f,0.059656,0.059656,,
68bc87ad-adcf-4ce6-b58a-49e91a0f44ce,0.055903,0.055903,,
3a622a85-e4aa-4318-b31d-e72a12f93bf4,0.064279,0.064279,,
5a810544-8c00-4324-9e52-6120423c28a0,0.055652,0.055652,,
2a9f563d-a641-44ad-acbb-ee62c72d9ad2,0.052122,0.052122,,
19e30b26-dd5c-4987-ab34-c9241728d181,0.010654,0.010654,,
902fc868-c648-4aba-bd1e-1c5c75c22c70,0.062188,0.062188,,
724154f2-f538-49c1-b547-1aa0bfb84bf8,0.058922,0.058922,,
